"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","titer_WellFlag","n_WellFlag"
"CtDRC1_p001_B09","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B09",20240813,"p001_B09","m2x","20240813-CtDRC1-p001-m2x_B09.TIF",0.922550432276657,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",15,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",711.47541855405,647.146935989508,659.236952489418,676.128168934944,705.76558620424,46.9578457278673,749.622830618051,772.540984848233,774.798914392257,0.0660006579332015,9,NA,NA
"CtDRC1_p001_B10","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B10",20240813,"p001_B10","m2x","20240813-CtDRC1-p001-m2x_B10.TIF",0.901573485102109,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",30,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",744.032821780501,609.529422775594,644.013072096865,700.12037314271,764.038015423799,63.1322625255732,783.138439504008,813.546656222247,823.876516831062,0.0848514483198405,25,NA,NA
"CtDRC1_p001_B11","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B11",20240813,"p001_B11","m2x","20240813-CtDRC1-p001-m2x_B11.TIF",1.01689497716895,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",60,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",715.732281392705,604.151556311648,625.052797018962,659.887863529776,743.452886521377,61.1689020703062,755.346644516791,775.250121911597,787.773916710869,0.0854633829723047,16,NA,NA
"CtDRC1_p001_B12","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B12",20240813,"p001_B12","m2x","20240813-CtDRC1-p001-m2x_B12.TIF",0.903492978033849,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",120,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",651.009017944364,537.496013778217,563.525940544627,617.132441360966,659.088676625016,64.2830667352135,696.689554566109,732.253764849194,757.201688992739,0.0987437423496755,23,NA,NA
"CtDRC1_p001_C01","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C01",20240813,"p001_C01","m2x","20240813-CtDRC1-p001-m2x_C01.TIF",1.04994089834515,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",907.815707164958,785.67625094019,808.024646786362,853.295935710297,956.641143241348,78.0924088434449,960.431393532271,971.830013794062,984.937897488034,0.0860223151319134,7,NA,NA
"CtDRC1_p001_C02","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C02",20240813,"p001_C02","m2x","20240813-CtDRC1-p001-m2x_C02.TIF",1.14070512820513,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.12,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",951.76362420171,901.286784467473,917.355406235732,941.458338888121,958.954211832064,36.459682392153,969.259497145653,980.419372063404,987.859288675239,0.038307497224149,4,NA,"n<5"
"CtDRC1_p001_C03","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C03",20240813,"p001_C03","m2x","20240813-CtDRC1-p001-m2x_C03.TIF",1.12474507138001,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.23,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",915.985251040069,822.455425246594,847.478134915218,873.710007833685,906.590211459605,64.674832289678,970.603365958293,988.709993663603,994.224372990326,0.0706068489817298,7,NA,NA
"CtDRC1_p001_C04","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C04",20240813,"p001_C04","m2x","20240813-CtDRC1-p001-m2x_C04.TIF",1.11590909090909,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.47,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",935.336527962998,864.417543241348,878.236967744284,892.807199413768,943.289063563487,51.7672322535236,983.555852820572,985.019054449741,986.922984467472,0.055346103467448,7,NA,NA
"CtDRC1_p001_C05","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C05",20240813,"p001_C05","m2x","20240813-CtDRC1-p001-m2x_C05.TIF",0.947928026172301,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.94,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",937.434744573553,827.207241966235,907.332600716689,917.170403649341,939.427118018177,38.3248884774304,967.652462399795,978.469866607561,988.350966607561,0.0408827267170098,21,NA,NA
"CtDRC1_p001_C06","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C06",20240813,"p001_C06","m2x","20240813-CtDRC1-p001-m2x_C06.TIF",0.941697627893684,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",1.88,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",885.070637247436,789.324510295912,823.521762101978,860.099584612211,885.984498626921,47.704355659991,908.585839257564,942.337770169429,970.02649346485,0.0538989247325515,22,NA,NA
